,GEO.display-label,HC01,2015bothtotal,est72015sex0_age0to4,est72015sex0_age5to9,est72015sex0_age10to14,est72015sex0_age15to19,est72015sex0_age20to24,est72015sex0_age25to29,est72015sex0_age30to34,est72015sex0_age35to39,est72015sex0_age40to44,est72015sex0_age45to49,est72015sex0_age50to54,est72015sex0_age55to59,est72015sex0_age60to64,est72015sex0_age65to69,est72015sex0_age70to74,est72015sex0_age75to79,est72015sex0_age80to84,est72015sex0_age85plus
Id2,Geography,Dollar,Population Estimates (as of July 1) - 2015 - Both Sexes; Total,Population Estimates (as of July 1) - 2015 - Both Sexes; Total - Under 5 years,Population Estimates (as of July 1) - 2015 - Both Sexes; Total - 5 to 9 years,Population Estimates (as of July 1) - 2015 - Both Sexes; Total - 10 to 14 years,Population Estimates (as of July 1) - 2015 - Both Sexes; Total - 15 to 19 years,Population Estimates (as of July 1) - 2015 - Both Sexes; Total - 20 to 24 years,Population Estimates (as of July 1) - 2015 - Both Sexes; Total - 25 to 29 years,Population Estimates (as of July 1) - 2015 - Both Sexes; Total - 30 to 34 years,Population Estimates (as of July 1) - 2015 - Both Sexes; Total - 35 to 39 years,Population Estimates (as of July 1) - 2015 - Both Sexes; Total - 40 to 44 years,Population Estimates (as of July 1) - 2015 - Both Sexes; Total - 45 to 49 years,Population Estimates (as of July 1) - 2015 - Both Sexes; Total - 50 to 54 years,Population Estimates (as of July 1) - 2015 - Both Sexes; Total - 55 to 59 years,Population Estimates (as of July 1) - 2015 - Both Sexes; Total - 60 to 64 years,Population Estimates (as of July 1) - 2015 - Both Sexes; Total - 65 to 69 years,Population Estimates (as of July 1) - 2015 - Both Sexes; Total - 70 to 74 years,Population Estimates (as of July 1) - 2015 - Both Sexes; Total - 75 to 79 years,Population Estimates (as of July 1) - 2015 - Both Sexes; Total - 80 to 84 years,Population Estimates (as of July 1) - 2015 - Both Sexes; Total - 85 years and over
1,Alabama,43623,4858979,292973,306288,309713,319561,343621,325204,307522,297279,305217,309049,340393,337506,300491,260960,189313,136012,92438,85439
2,Alaska,72515,738432,55449,51906,49007,48208,62319,63768,56718,46936,43220,44322,50118,50530,43094,30536,18619,10829,6716,6137
4,Arizona,50255,6828065,429244,460334,457463,460982,487261,466525,447120,423232,418381,412509,431259,424536,389165,368753,284261,201420,134831,130789
5,Arkansas,41371,2978204,190858,197510,196856,197880,206337,196670,192288,183538,182236,181108,201254,196389,178131,158153,119258,85284,58474,55980
6,California,61818,39144818,2508752,2541872,2520500,2601788,2883106,3002597,2833097,2618095,2569581,2603600,2643213,2502117,2127746,1751578,1225825,873911,629663,707777
8,Colorado,60629,5456574,335607,355814,357834,348825,390067,416394,406938,373683,359863,348854,365510,364677,320883,261457,172241,114345,79603,83979
9,Connecticut,70331,3590886,187620,205776,225743,250335,246800,221109,220441,211182,220141,256483,281484,271557,225409,182568,132162,91013,70939,90124
10,Delaware,60509,945934,55838,56415,57094,60117,62822,66685,59256,55219,55377,60891,67917,67220,60568,55128,40339,27437,18959,18652
11,District of Columbia,70848,672228,43352,32875,26410,37124,59997,78205,74130,54239,41710,38488,39005,36789,32900,26404,17733,12478,8942,11447
12,Florida,47507,20271272,1101071,1136067,1147416,1182953,1296345,1348885,1265430,1201092,1247379,1309842,1438661,1386944,1266719,1214570,966632,714021,506969,540276
13,Georgia,49620,10214860,660045,705117,711373,707371,737273,714615,687542,674461,696258,697483,709226,652957,556215,474843,330144,219447,144543,135947
15,Hawaii,69515,1431603,92412,86857,83359,79714,104669,111714,104197,92118,84597,85808,89801,92405,87038,77912,55360,36605,28734,38303
16,Idaho,47583,1654930,112923,123545,123763,117177,111353,109121,108570,104856,97776,95984,102798,105525,98045,84451,61293,41830,27986,27934
17,Illinois,57574,12859995,783662,817544,841064,852457,899794,886919,887422,843123,826693,844829,901595,886115,758501,609084,429745,309042,223689,258717
