state,state_abb,unins_all_pct_10,unins_all_pct_15,unins_all_decr_pct,unins_all_decr,cov_emp,cov_parents_plan,lifetime_lim_preACA_tot,lifetime_lim_preACA_child,lifetime_lim_preACA_adultM,lifetime_lim_preACA_adultF,cov_private_tot,cov_private_child,cov_private_adultM,cov_private_adultF,premium_emp_avg_growth_pct_00to10,premium_emp_avg_growth_pct_10to15,premium_emp_savings_15,premium_emp_savings_16,MLR_rebate_beneficiaries_12,MLR_rebate_amt_12,MLR_rebate_beneficiaries_13,MLR_rebate_amt_13,MLR_rebate_beneficiaries_14,MLR_rebate_amt_14,MLR_rebate_beneficiaries_15,MLR_rebate_amt_15,MLR_rebate_amt_12to15,medicaid_enroll_13,medicaid_enroll_16,medicaid_enroll_child_13,medicaid_enroll_incr_13to16,medicaid_full_duals,medicaid_partial_duals,medicaid_full_or_partial_duals,state_has_expanded,insurance_incr_medicaid,cholest_scr_incr_medicaid,mammogram_incr_medicaid,papsmear_incr_medicaid,clinic_care_incr_medicaid,all_care_incr_medicaid,phycisian_visit_ann_incr_medicaid,depression_decr_medicaid,good_health_incr_medicaid,deaths_ann_decr_medicaid,catastrophic_oop_ann_decr_medicaid,indebted_ppl_decr_medicaid,fed_spending_net_incr_inMil,uncompensated_care_decr_inMil,mental_substance_elig_medicaid_share,mental_substance_elig_medicaid,preexisting_condition_09,cov_mkt_plan_16,cov_mkt_16,receive_tax_credit,avg_tax_credit,receive_cost_sharing,avg_num_mkt_plans_avail_17,cov_mkt_under75D_pct,cov_mkt_under100D_pct,cov_offmkt_elig_tax_credit,rate_review_funds_to_state,HIECP_grant_award_to_state,medicare_enroll_16,medicare_benef_donuthole,medicare_benef_donuthole_savings_tot,medicare_benef_donuthole_savings_avg,medicare_partB_free_prev_services,medicare_partB_free_prev_services_share,medicare_incr_readmit_rate,medicare_avoided_readmit,accountable_care_org_num
Alabama ,AL,14.6,10.1,4.5,215e3,2545e3,35e3,1566e3,396e3,561e3,609e3,2140837.0,422895.0,831232.0,886709.0,7.1,5.2,1500.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,799176.0,910775.0,645400.0,111599.0,86609.0,122109.0,208718.0,FALSE,177e3,25800.0,7e3,10700.0,42e3,2e4,478e3,16e3,24e3,210.0,7900.0,25200.0,1240.0,190.0,0.303,85e3,2040458.0,195055.0,165534.0,152206.0,310.0,125424.0,6.0,0.89,0.9,33e3,1e6,NA,989855.0,90556.0,97330073.0,1075.0,531567.0,0.742,-5.8,1503.119999999999,9.0
Alaska ,AK,19.9,14.9,5.0,36e3,39e4,6e3,237e3,64e3,87e3,86e3,316518.0,66269.0,126100.0,124149.0,NA,8.2,NA,NA,1845.0,708637.0,0.0,0.0,0.0,0.0,0.0,0.0,708637.0,122334.0,166625.0,81161.0,44291.0,15634.0,504.0,16138.0,TRUE,17e3,2500.0,600.0,1e3,4e3,2e3,46e3,2e3,2e3,20.0,800.0,2400.0,90.0,20.0,NA,NA,318926.0,23029.0,17995.0,16205.0,750.0,7500.0,5.0,0.79,0.82,5e3,NA,629841.0,88966.0,3094.0,3184420.0,1029.0,46876.0,0.587,-5.5,78.32999999999993,1.0
Arizona ,AZ,16.9,10.8,6.1,41e4,3288e3,5e4,2091e3,57e4,752e3,769e3,2726206.0,598585.0,1066492.0,1061129.0,7.4,4.2,2900.0,3800.0,341797.0,16179486.0,256536.0,8248311.0,238461.0,8301175.0,11492.0,4142421.0,36871393.0,1201770.0,1716198.0,NA,514428.0,151001.0,49213.0,200214.0,TRUE,44e3,6400.0,2200.0,2700.0,1e4,5e3,118e3,4e3,6e3,50.0,2e3,6200.0,570.0,50.0,NA,NA,2794358.0,203066.0,179445.0,124346.0,230.0,94463.0,4.0,0.74,0.78,33e3,4179e3,NA,1175624.0,96954.0,93694466.0,966.0,481230.0,0.703,-10.8,2270.126,10.0
Arkansas ,AR,17.5,9.5,8.0,234e3,1365e3,21e3,865e3,219e3,313e3,333e3,1102338.0,225176.0,430226.0,446936.0,6.4,3.8,1900.0,2400.0,110844.0,2629919.0,44206.0,4519181.0,40087.0,5143882.0,44160.0,3101489.0,15394471.0,556851.0,920194.0,436815.0,363343.0,66243.0,60445.0,126688.0,TRUE,122e3,17800.0,4800.0,7300.0,29e3,14e3,33e4,11e3,16e3,150.0,5500.0,17400.0,1060.0,130.0,NA,NA,1239180.0,73648.0,63357.0,56843.0,306.0,36134.0,24.0,0.52,0.62,29e3,9187892.0,NA,606146.0,40658.0,36436080.0,896.0,337214.0,0.712,-6.2,993.4739999999983,11.0
California,CA,18.5,8.6,9.9,3826e3,19552e3,294e3,12092e3,3255e3,4389e3,4448e3,15867909.0,3351780.0,6191627.0,6324503.0,8.3,5.5,2500.0,3600.0,1088504.0,47272420.0,422403.0,8696667.0,230786.0,32235960.0,287077.0,36705696.0,124910743.0,7755381.0,11843081.0,5102963.0,4087700.0,1360665.0,39969.0,1400634.0,TRUE,1188e3,173100.0,42100.0,74200.0,282e3,136e3,3208e3,109e3,158e3,1430.0,53200.0,169e3,5790.0,1250.0,NA,NA,16133192.0,1575340.0,1415428.0,1239893.0,309.0,707671.0,30.0,NA,NA,313e3,11697197.0,1844585.0,5829777.0,419078.0,437630655.0,1044.0,2202117.0,0.685,-5.7,5580.207999999999,29.0
Colorado,CO,15.9,8.1,7.8,419e3,2949e3,4e4,1902e3,521e3,685e3,696e3,2519638.0,556491.0,972911.0,990235.0,7.0,4.8,1900.0,2600.0,112067.0,10189712.0,14926.0,1474433.0,97387.0,4918285.0,5320.0,1588937.0,18171367.0,783420.0,1375264.0,629223.0,591844.0,74964.0,38443.0,113407.0,TRUE,132e3,19200.0,4400.0,7700.0,31e3,15e3,355e3,12e3,18e3,160.0,5900.0,18700.0,870.0,140.0,NA,NA,2250003.0,150769.0,108311.0,67062.0,318.0,28929.0,NA,NA,NA,52e3,8580311.0,1328508.0,820234.0,59459.0,58449048.0,983.0,323128.0,0.676,-9.2,1098.7239999999983,7.0
Connecticut,CT,9.1,6.0,3.1,11e4,2148e3,25e3,1386e3,367e3,494e3,525e3,1819938.0,364693.0,708801.0,746444.0,7.4,4.2,3e3,4e3,21613.0,4266585.0,31734.0,2638239.0,22166.0,1834954.0,0.0,0.0,8739778.0,NA,761137.0,306614.0,NA,76781.0,93516.0,170297.0,TRUE,72e3,10500.0,2700.0,4300.0,17e3,8e3,194e3,7e3,1e4,90.0,3200.0,10200.0,710.0,80.0,NA,NA,1554628.0,116019.0,102917.0,80759.0,357.0,52132.0,17.0,NA,NA,15e3,1e6,NA,644136.0,66843.0,78487237.0,1174.0,344091.0,0.773,-7.7,1306.0519999999997,12.0
Delaware ,DE,9.7,5.9,3.8,35e3,564e3,7e3,32e4,86e3,113e3,121e3,417265.0,84080.0,161610.0,171575.0,NA,5.2,NA,NA,2186.0,727951.0,3176.0,242249.0,12110.0,1470435.0,3805.0,151507.0,2592142.0,223324.0,236702.0,103587.0,13378.0,13646.0,15325.0,28971.0,TRUE,6e3,900.0,300.0,400.0,1e3,1e3,16e3,1e3,1e3,10.0,300.0,900.0,170.0,10.0,NA,NA,383607.0,28256.0,25379.0,21467.0,330.0,11146.0,19.0,0.55,0.63,5e3,2178976.0,NA,186835.0,24223.0,28586178.0,1180.0,133283.0,0.808,-10.3,574.7179999999998,7.0
Florida ,FL,21.3,13.3,8.0,1597e3,8847e3,132e3,5587e3,1411e3,2006e3,217e4,7289873.0,1423940.0,2841807.0,3024126.0,8.2,1.3,6300.0,7600.0,297061.0,14794868.0,622688.0,23692538.0,592343.0,33422223.0,615309.0,37373499.0,109283128.0,3104996.0,3644673.0,2462518.0,539677.0,374140.0,397515.0,771655.0,FALSE,75e4,109300.0,31200.0,46100.0,178e3,86e3,2025e3,69e3,1e5,900.0,33600.0,106700.0,5900.0,790.0,0.277,309e3,7838642.0,1742819.0,1531714.0,1428712.0,305.0,1125850.0,55.0,0.8,0.84,153e3,NA,NA,4149593.0,355360.0,350888326.0,987.0,1826053.0,0.752,-2.7,3161.0339999999997,49.0
Georgia ,GA,19.7,13.9,5.8,581e3,524e4,74e3,3317e3,916e3,1145e3,1256e3,4187077.0,883809.0,1598625.0,1704643.0,7.0,5.7,1100.0,1800.0,111390.0,10609166.0,124226.0,5629096.0,28337.0,2033244.0,203158.0,7369544.0,25641050.0,1535090.0,1782301.0,1253841.0,247211.0,137671.0,168076.0,305747.0,FALSE,389e3,56700.0,13900.0,23500.0,92e3,44e3,105e4,36e3,52e3,470.0,17400.0,55300.0,2850.0,410.0,0.25,159e3,4323897.0,587845.0,478016.0,427353.0,291.0,322348.0,32.0,0.76,0.81,95e3,NA,NA,1574058.0,141609.0,148784101.0,1051.0,751478.0,0.728,-7.4,2452.875,19.0
Hawaii,HI,7.9,4.0,3.9,54e3,867e3,9e3,462e3,115e3,174e3,173e3,631152.0,120194.0,254510.0,256448.0,NA,5.8,NA,NA,39589.0,1551371.0,67722.0,4889432.0,1377.0,1395611.0,1273.0,1156997.0,8993411.0,288357.0,341200.0,144895.0,52843.0,33543.0,5035.0,38578.0,TRUE,33e3,4900.0,1400.0,1900.0,8e3,4e3,9e4,3e3,4e3,40.0,1500.0,4700.0,280.0,40.0,NA,NA,560494.0,14564.0,13313.0,10958.0,270.0,8067.0,22.0,0.71,0.76,7e3,8202387.0,1210906.86,252514.0,23762.0,30027279.0,1264.0,79163.0,0.672,-13.4,315.05099999999993,0.0
Idaho,ID,17.7,11.0,6.7,109e3,836e3,11e3,566e3,173e3,195e3,198e3,699703.0,170463.0,267497.0,261743.0,NA,8.0,NA,NA,27291.0,2085935.0,29289.0,1341917.0,0.0,0.0,0.0,0.0,3427852.0,238150.0,293905.0,215357.0,55755.0,25961.0,17188.0,43149.0,FALSE,59e3,8600.0,2500.0,3600.0,14e3,7e3,159e3,5e3,8e3,70.0,2600.0,8400.0,300.0,60.0,0.39,3e4,662319.0,101073.0,94270.0,82802.0,265.0,58781.0,NA,NA,NA,15e3,NA,NA,294284.0,19821.0,17584133.0,887.0,121236.0,0.646,-2.4,78.375,5.0
Illinois ,IL,13.8,7.1,6.7,85e4,7359e3,91e3,467e4,1192e3,1735e3,1743e3,5883105.0,1189924.0,2312855.0,2380326.0,7.4,3.2,3800.0,4700.0,87108.0,3230602.0,46455.0,4504395.0,7409.0,1820520.0,12883.0,1788113.0,11343630.0,2626943.0,3117939.0,1457307.0,490996.0,308374.0,45716.0,354090.0,TRUE,34e4,49600.0,12600.0,20300.0,81e3,39e3,919e3,31e3,45e3,410.0,15200.0,48400.0,1760.0,360.0,NA,NA,5635622.0,388179.0,335243.0,259701.0,237.0,156469.0,29.0,0.53,0.6,13e4,4531085.0,1377567.36,2118300.0,196727.0,204732932.0,1041.0,1185594.0,0.744,-12.1,8107.779999999999,29.0
