unique(as.factor(health_ind$measure)),,,,
a100: Access Dimension Summary,,a.summary_access,,
a001: Adults ages 19â€“64 uninsured,,a.unins_adult,,
a002: Children ages 0â€“18 uninsured,,a.unins_child,,
a004: Adults who went without care because of cost in past year,,a.no_care_bc_cost_adult,,
a005: Individuals under age 65 with high out-of-pocket medical costs relative to their annual household income,,a.high_OOP_relative_under65,,
a006: At-risk adults without a routine doctor visit in past two years,,a.at_risk_no_routine_doctor_adult,,
a003: Adults without a dental visit in past year,,a.no_dental_adult,,
q100: Prevention and Treatment Dimension Summary,,q.summary_prev_treat,,
q002: Adults with a usual source of care,,q.with_usual_care_adult,,
q001a: Adults with age- and gender-appropriate cancer screenings,,q.with_cancer_screening_adult,,
q001b: Adults with age-appropriate vaccines,,q.with_vaccines_adult,,
q003: Children with a medical home,,q.with_medical_home_child,,
q004: Children with a medical and dental preventive care visit in the past year,,q.with_prev_medical_dental_child,,
"q005: Children with emotional, behavioral, or developmental problems who received needed mental health care in the past year",,q.with_mental_healthcare_child,,
q006: Children ages 19â€“35 months who received all recommended doses of seven key vaccines,,q.with_vaccines_infant,,
q014: Medicare beneficiaries who received at least one drug that should be avoided in the elderly,,q.drug_should_avoid_medicare,,
"q015: Medicare beneficiaries with dementia, hip/pelvic fracture, or chronic renal failure who received a prescription drug that is contraindicated for that condition",,q.drug_should_avoid_dementia_hip_renal_medicare,,
"q016: Medicare fee-for-service patients whose health provider always listens, explains, shows respect, and spends enough time with them",,q.good_health_provider_medicare,,
"q009: Risk-adjusted 30-day mortality among Medicare beneficiaries hospitalized for heart attack, heart failure, pneumonia, or stroke",,q.mortality_4conditions_medicare,,
"q022: Central line-associated bloodstream infections (CLABSI), Standardized Infection Ratio",,q.CLABSI_infection_ratio,,
q010: Hospitalized patients given information about what to do during their recovery at home,,q.info_recovery_hospitalized,,
"q011: Hospitalized patients who reported hospital staff always managed pain well, responded when needed help to get to bathroom or pressed call button, and explained medicines and side effects",,q.good_hospital_staff_hospitalized,,
q017: Home health patients who get better at walking or moving around,,q.improve_mobility_homehealth,,
q018: Home health patients whose wounds improved or healed after an operation,,q.improved_wounds_homehealth,,
q019: High-risk nursing home residents with pressure sores,,q.sores_NHres,,
q020: Long-stay nursing home residents with an antipsychotic medication,,q.antipsychotic_med_NHres,,
u100: Avoidable Hospital Use and Cost Dimension Summary,,u.summary_avoidable_hosp_cost,,
"u001: Hospital admissions for pediatric asthma, per 100,000 children",,u.hosp_asthma_child,,
"u002a: Hospital admissions among Medicare beneficiaries for ambulatory careâ€“sensitive conditions, ages 65â€“74, per 1,000 beneficiaries",,u.hosp_ambulatory_65to74yrs,,
"u002b: Hospital admissions among Medicare beneficiaries for ambulatory careâ€“sensitive conditions, age 75 and older, per 1,000 beneficiaries",,u.hosp_ambulatory_above75yrs,,
"u004: Medicare 30-day hospital readmissions, rate per 1,000 beneficiaries",,u.30day_hosp_readmit_medicare,,
u005: Short-stay nursing home residents readmitted within 30 days of hospital discharge to nursing home,,u.30day_hosp_readmit_NHres,,
u006: Long-stay nursing home residents hospitalized within a six-month period,,u.hosp_6mos_NHres,,
u007: Home health patients also enrolled in Medicare with a hospital admission,,u.hosp_medicare_homehealth,,
"u003: Potentially avoidable emergency department visits among Medicare beneficiaries, per 1,000 beneficiaries",,u.avoidable_ER_medicare,,
u010: Total reimbursements per enrollee (ages 18â€“64) with employer-sponsored insurance,,u.tot_reimb_employer_ins,,
u009: Total Medicare (Parts A & B) reimbursements per enrollee,,u.tot_reimb_medicare,,
h100: Healthy Lives Dimension Summary,,h.summary_healthy_lives,,
"h001: Mortality amenable to health care, deaths per 100,000 population",,h.deaths_amenable,,
h015: Years of potential life lost before age 75,,h.yrs_lost_potential_life_before75,,
"h009: Breast cancer deaths per 100,000 female population",,h.deaths_breast_cancer_F,,
"h010: Colorectal cancer deaths per 100,000 population",,h.deaths_colorectal_cancer,,
"h007: Suicide deaths per 100,000 population",,h.deaths_suicide,,
"h002: Infant mortality, deaths per 1,000 live births",,h.deaths_infant_mortality,,
"h005: Adults ages 18â€“64 who report fair/poor health or activity limitations because of physical, mental, or emotional problems",,h.poor_health_adult,,
h003: Adults who smoke,,h.smoke_adult,,
h004: Adults ages 18â€“64 who are obese (BMI >= 30),,h.obese_adult,,
h011: Children ages 10â€“17 who are overweight or obese (BMI >= 85th percentile),,h.obese_child,,
"h008: Adults ages 18â€“64 who have lost six or more teeth because of tooth decay, infection, or gum disease",,h.poor_dental_adult,,
u008: Total single premium per enrolled employee at private-sector establishments that offer health insurance,,u.premium_emp_private,,
"u908: Total single premium per enrolled employee at private-sector establishments that offer health insurance, unadjusted",,u.premium_emp_private_unadj,,
"u909: Total Medicare (Parts A & B) reimbursements per enrollee, unadjusted",,u.reimb_medicare_unadj,,
"h901b: Mortality amenable to health care, Black race, deaths per 100,000 population",,u.deaths_amenable_black,,
"h901w: Mortality amenable to health care, White race, deaths per 100,000 population",,u.deaths_amenable_white,,
"h008: Percent of adults ages 18â€“64 who have lost six or more teeth because of tooth decay, infection, or gum disease",,NA,,
q001: Adults ages 50 and older who received recommended screening and preventive care,,q.with_prev_screening_above50yrs,,
"q009: Risk-adjusted 30-day mortality among Medicare beneficiaries hospitalized for heart attack, heart failure, or pneumonia",,NA,,
